PC1,PC2,PC3,label,ra,dec,j_mag,h_mag,k_mag,kep_mag,planet_radius,orbital_period,star_teff,star_logg,star_radius,star_mass,lc_time0
-0.3299932726475872,-0.4691184951786871,-0.0517027368928185,2,297.00482,48.134129,14.254,13.9,13.826,15.436,14.6,19.89913995,5853.0,4.544,0.868,0.961,175.850252
0.0932886674930641,-0.453369400879867,0.4087592252165721,2,285.53461,48.28521,14.326,13.911,13.809,15.597,33.46,1.736952453,5805.0,4.564,0.791,0.836,170.307565
-0.4698212289824507,-0.4553140684389642,0.0153273384299014,0,288.75488,48.2262,14.366,14.064,13.952,15.509,2.75,2.525591777,6031.0,4.438,1.046,1.095,171.59555
-0.2965224126701454,0.0620123671605801,0.0225693151614189,0,296.28613,48.22467,14.528,14.113,14.132,15.714,3.9,11.09432054,6046.0,4.486,0.972,1.053,171.20116
-0.3992747846741821,-0.1895578802400574,0.0089726243183578,0,296.28613,48.22467,14.528,14.113,14.132,15.714,2.77,4.13443512,6046.0,4.486,0.972,1.053,172.97937
-0.4368831217553542,-0.1814297245149213,-0.0162745039601653,1,287.88733,46.276241,11.811,11.555,11.503,12.791,0.55,3.43591631,5779.0,4.339,1.087,0.941,132.6624
-0.4621175018384854,-0.3094640604290765,-0.0096469407564333,0,296.28613,48.22467,14.528,14.113,14.132,15.714,1.59,2.56658897,6046.0,4.486,0.972,1.053,179.55437
0.0885790664208715,0.6571836669179577,0.1949570973948648,0,287.89713,40.637821,13.894,13.545,13.512,15.084,7.89,23.65369415,5739.0,4.191,1.384,1.083,171.376107
-0.2218013066841425,0.4523546134752035,0.0081455510559085,0,287.89713,40.637821,13.894,13.545,13.512,15.084,3.06,13.23352214,5739.0,4.191,1.384,1.083,140.32196
-0.3207347051053942,0.1427124126742001,0.0018458293939607,0,287.89713,40.637821,13.894,13.545,13.512,15.084,2.32,6.15560285,5739.0,4.191,1.384,1.083,134.81656
-0.4129299028688474,-0.1387611851366356,-0.0066834320561323,0,287.89713,40.637821,13.894,13.545,13.512,15.084,1.62,2.090811305,5739.0,4.191,1.384,1.083,134.17462
-0.2321877632384221,0.5353503760832943,-0.0219653578930222,0,287.89713,40.637821,13.894,13.545,13.512,15.084,2.67,50.4467417,5739.0,4.191,1.384,1.083,178.5014
